index,BHK,sector,price,price_persqft,SuperArea,floor,Furnishing,facing,Car_Parking,Bathroom,Balcony,overlooking,city
38,1,Kandivali,0.8,19851.0,403.0,,Unfurnished,,not sure,2,,,Mumbai
39,3,Kandivali,4.3,26061.0,1650.0,,Unfurnished,,not sure,3,1,,Mumbai
40,2,Chembur,3.3,44595.0,740.0,,Unfurnished,,not sure,2,,,Mumbai
41,2,Kandivali,2.27,29857.0,760.0,,Unfurnished,,not sure,2,,,Mumbai
42,1,Andheri,1.27,29812.0,426.0,,Unfurnished,,not sure,1,1,,Mumbai
43,1,Goregaon,1.16,26852.0,432.0,,Unfurnished,,not sure,1,,,Mumbai
44,2,Powai,3.05,41384.0,737.0,,Unfurnished,,not sure,2,1,,Mumbai
45,2,Kandivali,2.4,32000.0,750.0,,Unfurnished,,not sure,2,,,Mumbai
46,2,Kandivali,2.4,32000.0,750.0,,Unfurnished,,not sure,2,,,Mumbai
47,2,Bhandup,2.15,28705.0,749.0,,Unfurnished,,not sure,2,1,,Mumbai
48,2,Ghatkopar,2.55,33641.0,758.0,,Unfurnished,,not sure,2,1,,Mumbai
49,2,Borivali,2.5,34674.0,721.0,,Unfurnished,,not sure,2,,,Mumbai
50,1,Santacruz,3.15,72414.0,435.0,,Unfurnished,,not sure,1,,,Mumbai
51,1,Goregaon,1.43,36573.0,391.0,,Unfurnished,,not sure,2,,,Mumbai
52,1,Andheri,1.27,29812.0,426.0,,Unfurnished,,not sure,1,1,,Mumbai
53,2,Malad,1.49,28932.0,515.0,,Unfurnished,,not sure,2,,,Mumbai
54,2,Malad,1.22,19489.0,626.0,,Unfurnished,,not sure,2,,,Mumbai
55,2,Ghatkopar,3.49,32435.0,1076.0,,Unfurnished,,not sure,3,,,Mumbai
56,3,Chembur,5.2,35495.0,1465.0,,Unfurnished,,not sure,3,1,,Mumbai
57,1,Malad,1.42,29278.0,485.0,,Unfurnished,,not sure,1,,,Mumbai
58,2,Chembur,3.3,44595.0,740.0,,Unfurnished,,not sure,2,,,Mumbai
59,2,others,2.64,24000.0,1100.0,,Unfurnished,,not sure,2,1,,Mumbai
60,3,Malad,4.07,29051.0,1401.0,,Unfurnished,,not sure,3,3,,Mumbai
61,3,Bandra,5.74,57673.0,996.0,,Unfurnished,,not sure,3,1,,Mumbai
62,2,Kandivali,1.81,26308.0,688.0,,Unfurnished,,not sure,2,1,,Mumbai
63,1,Bhandup,0.89,20941.0,425.0,,Unfurnished,,not sure,2,,,Mumbai
64,1,Mira Road,0.59,12041.0,490.0,,Unfurnished,,not sure,2,3,,Mumbai
65,2,Chembur,2.34,26621.0,879.0,,Unfurnished,,not sure,3,1,,Mumbai
66,2,others,2.8,33333.0,840.0,,Unfurnished,,not sure,2,1,,Mumbai
67,2,Chembur,1.5,23772.0,631.0,,Unfurnished,,not sure,2,,,Mumbai
68,2,Kandivali,1.77,28365.0,624.0,,Unfurnished,,not sure,2,,,Mumbai
69,1,Mira Road,0.75,17606.0,426.0,,Unfurnished,,not sure,2,3,,Mumbai
70,3,Worli,9.04,60293.0,1500.0,,Unfurnished,,not sure,3,1,,Mumbai
71,4+,others,6.7,40854.0,1640.0,,Unfurnished,,not sure,3,1,,Mumbai
72,1,Virar,0.33,8483.0,389.0,,Unfurnished,,not sure,2,3,,Mumbai
73,1,Malad,0.8,19656.0,407.0,,Unfurnished,,not sure,1,,,Mumbai
74,1,Virar,0.414,8809.0,470.0,,Unfurnished,,not sure,2,3,,Mumbai
75,1,Mira Road,0.7240000000000001,16995.0,426.0,,Unfurnished,,not sure,2,1,,Mumbai
76,3,Powai,3.95,37981.0,1040.0,,Unfurnished,,not sure,2,2,,Mumbai
77,3,Mulund,2.4,23529.0,1020.0,,Unfurnished,,not sure,3,1,,Mumbai
78,2,others,3.19,33579.0,950.0,,Unfurnished,,not sure,2,1,,Mumbai
79,1,others,0.39,7400.0,527.0,,Unfurnished,,not sure,2,3,,Mumbai
80,1,others,1.15,27123.0,424.0,,Unfurnished,,not sure,1,1,,Mumbai
81,2,Borivali,1.9,24675.0,770.0,,Unfurnished,,not sure,2,,,Mumbai
82,1,others,0.7000000000000001,13752.0,509.0,,Unfurnished,,not sure,2,2,,Mumbai
83,4,Bandra,3.92,34236.0,1145.0,,Unfurnished,,not sure,3,2,,Mumbai
84,2,Mulund,1.45,23463.0,618.0,,Unfurnished,,not sure,2,1,,Mumbai
85,1,Malad,0.974,25632.0,380.0,,Unfurnished,,not sure,1,1,,Mumbai
86,3,Kandivali,3.1,26980.0,1149.0,,Unfurnished,,available,3,,,Mumbai
87,2,Mulund,1.51,19921.0,758.0,,Unfurnished,,not sure,2,,,Mumbai
88,2,Mulund,2.49,30292.0,822.0,,Unfurnished,,available,2,,,Mumbai
89,2,Ghatkopar,1.35,20769.0,650.0,,Unfurnished,,available,2,,,Mumbai
90,3,others,7.29,48600.0,1500.0,,Unfurnished,,not sure,3,,,Mumbai
91,2,others,2.55,41262.0,618.0,,Unfurnished,,available,2,,,Mumbai
92,2,others,3.99,48305.0,826.0,,Unfurnished,,available,2,,,Mumbai
93,2,Virar,0.7709999999999999,11953.0,645.0,,Unfurnished,,not sure,2,,,Mumbai
94,2,Chembur,3.1,40052.0,774.0,,Semi-Furnished,,available,2,,,Mumbai
95,3,Prabhadevi,8.0,51613.0,1550.0,,Unfurnished,,not sure,3,,,Mumbai
96,2,Wadala,2.71,35379.0,766.0,,Unfurnished,,available,2,,,Mumbai
97,3,Bandra,6.93,73333.0,945.0,,Unfurnished,,available,3,,,Mumbai
98,2,Mulund,1.96,24500.0,800.0,,Semi-Furnished,,available,2,,,Mumbai
99,1,Kanjurmarg,0.888,20748.0,428.0,,Unfurnished,,available,2,,,Mumbai
100,2,Chembur,2.3,35938.0,640.0,,Unfurnished,,available,2,,,Mumbai
101,3,others,6.29,46975.0,1339.0,,Unfurnished,,not sure,3,,,Mumbai
102,2,Santacruz,3.12,46154.0,676.0,,Unfurnished,,not sure,2,,,Mumbai
103,3,Wadala,2.98,30502.0,977.0,,Unfurnished,,available,3,,,Mumbai
104,3,Kandivali,3.25,31832.0,1021.0,10+,Unfurnished,East,available,3,,Main Road,Mumbai
