index,BHK,sector,price,price_persqft,SuperArea,floor,Furnishing,facing,Car_Parking,Bathroom,Balcony,overlooking,city
337.0,3,others,1.4,6567.0,2132.0,1,Unfurnished,East,not sure,3,4,Garden/Park,Hydrabad
338.0,2,others,0.5,6024.0,830.0,4,Unfurnished,North - West,available,2,2,Garden/Park,Hydrabad
339.0,3,Narsingi,2.75,11777.0,2335.0,10+,Unfurnished,West,not sure,3,2,"Garden/Park, Pool",Hydrabad
340.0,2,others,0.59,5004.0,1179.0,1,Unfurnished,East,available,2,2,Main Road,Hydrabad
341.0,2,others,0.46,4423.0,1040.0,2,Unfurnished,East,not sure,2,1,Main Road,Hydrabad
342.0,2,others,0.95,7252.0,1310.0,7,Unfurnished,East,not sure,2,2,"Garden/Park, Main Road, Pool",Hydrabad
343.0,3,others,0.9,5294.0,1700.0,10+,Unfurnished,East,not sure,3,2,Main Road,Hydrabad
344.0,3,others,1.35,7890.0,1711.0,4,Unfurnished,North - East,not sure,3,2,Main Road,Hydrabad
345.0,2,others,0.52,4771.0,1090.0,1,Unfurnished,East,not sure,2,1,Main Road,Hydrabad
346.0,3,others,2.38,12851.0,1852.0,5,Unfurnished,North,not sure,3,2,Main Road,Hydrabad
347.0,2,others,0.7000000000000001,5000.0,1400.0,2,Semi-Furnished,East,not sure,2,2,Main Road,Hydrabad
348.0,3,Kondapur,2.6,11078.0,2347.0,5,Furnished,West,available,3,2,Main Road,Hydrabad
349.0,2,Outer Ring Road,0.5720000000000001,5201.0,1100.0,10+,Unfurnished,East,available,2,2,"Garden/Park, Main Road, Pool",Hydrabad
350.0,2,others,0.65,6311.0,1030.0,5,Semi-Furnished,West,available,2,2,Main Road,Hydrabad
351.0,3,Kondapur,1.52,7755.0,1960.0,3,Unfurnished,East,available,3,3,Main Road,Hydrabad
352.0,2,others,0.61,5810.0,1050.0,5,Furnished,East,not sure,2,1,Main Road,Hydrabad
353.0,2,others,0.65,5556.0,1170.0,5,Unfurnished,East,available,2,1,Main Road,Hydrabad
354.0,3,Kondapur,1.1,7324.0,1502.0,5,Unfurnished,East,not sure,3,2,Main Road,Hydrabad
355.0,2,others,0.525,4688.0,1120.0,3,Unfurnished,East,not sure,2,1,Main Road,Hydrabad
356.0,2,others,0.39,4105.0,950.0,0,Unfurnished,East,not sure,2,1,Main Road,Hydrabad
357.0,3,others,1.3,7558.0,1720.0,5,Unfurnished,North - East,not sure,3,2,Main Road,Hydrabad
358.0,2,Bandlaguda Jagir,0.76,5989.0,1269.0,10+,Unfurnished,East,available,2,2,"Garden/Park, Main Road, Pool",Hydrabad
359.0,3,others,0.42,2545.0,1650.0,8,Unfurnished,East,not sure,3,1,"Garden/Park, Main Road, Pool",Hydrabad
360.0,3,Pragathi Nagar,1.1,6471.0,1700.0,3,Unfurnished,East,not sure,3,1,Main Road,Hydrabad
361.0,2,Kompally,0.52,4333.0,1200.0,3,Unfurnished,East,not sure,2,2,Main Road,Hydrabad
362.0,2,others,0.55,4783.0,1150.0,2,Furnished,West,not sure,2,3,Main Road,Hydrabad
363.0,2,others,0.335,7900.8,800.0,3,Unfurnished,North - West,not sure,2,2,Main Road,Hydrabad
364.0,2,Tellapur,1.25,8604.6,1360.0,2,Furnished,East,not sure,2,1,"Garden/Park, Main Road, Pool",Hydrabad
365.0,3,others,1.2,6714.6,1500.0,5,Unfurnished,East,not sure,3,1,Main Road,Hydrabad
366.0,2,others,1.2,9302.0,1290.0,3,Semi-Furnished,North,available,2,1,Main Road,Hydrabad
367.0,2,Uppal,0.58,4560.0,1272.0,4,Furnished,East,available,2,2,Main Road,Hydrabad
368.0,2,others,0.68,5667.0,1200.0,5,Semi-Furnished,East,not sure,2,2,Main Road,Hydrabad
369.0,3,others,1.05,7985.0,1315.0,5,Furnished,East,available,2,1,"Garden/Park, Main Road",Hydrabad
370.0,3,Pragathi Nagar,0.78,5200.0,1500.0,1,Unfurnished,West,not sure,3,2,Main Road,Hydrabad
371.0,3,others,1.1,6444.0,1707.0,3,Furnished,North,available,3,1,Main Road,Hydrabad
372.0,2,others,0.8,6364.0,1257.0,1,Semi-Furnished,West,available,2,2,Main Road,Hydrabad
