,bhk,price_sqft_price,Carpet_Area,SuperArea,Status,Floor,Transaction,Furnishing,facing,Society,Ownership,Car_Parking,Bathroom,Balcony,overlooking,Under_Construction
380,"3 BHK Apartment for Sale in Birla Niyaara, Worli Mumbai","7.75 Cr40,811 per sqft",1204 sqft,NAN,NAN,43 out of 72,New Property,Semi-Furnished,North - East,Birla Niyaara,Freehold,2 Covered,3,NAN,Garden/Park,Poss. by Dec '26
381,1 BHK Apartment for Sale in Chembur East Mumbai,"1.15 Cr25,442 per sqft",450 sqft,NAN,NAN,15 out of 33,New Property,Unfurnished,North - East,NAN,Freehold,1 Covered,2,NAN,Garden/Park,Poss. by Dec '27
382,"3 BHK Apartment for Sale in Piramal Mahalaxmi, Mahalakshmi Mumbai","7.80 Cr41,467 per sqft",1140 sqft,NAN,NAN,16 out of 62,New Property,Unfurnished,North,Piramal Mahalaxmi,Leasehold,2 Covered,3,NAN,Main Road,Poss. by Dec '26
383,2 BHK Apartment for Sale in Dongarpada Mumbai,"74 Lac7,048 per sqft",575 sqft,NAN,NAN,5 out of 16,New Property,Unfurnished,North - East,NAN,Freehold,NAN,2,2,"Garden/Park, Main Road",Poss. by Dec '25
384,3 BHK Apartment for Sale in Pandurang Wadi Goregaon East Mumbai,"2.10 Cr20,290 per sqft",719 sqft,NAN,NAN,11 out of 15,Resale,Semi-Furnished,East,NAN,Freehold,1 Covered,2,NAN,Main Road,Poss. by Jul '24
385,"3 BHK Apartment for Sale in Piramal Revanta, Moti Nagar Mumbai","4.20 Cr24,000 per sqft",1375 sqft,NAN,NAN,10 out of 30,New Property,Unfurnished,East,Piramal Revanta,Freehold,2 Covered,3,3,"Garden/Park, Pool",Poss. by Nov '28
386,"3 BHK Apartment for Sale in Piramal Mahalaxmi, Mahalakshmi Mumbai","6.49 Cr54,219 per sqft",1041 sqft,NAN,NAN,17 out of 63,New Property,Unfurnished,East,Piramal Mahalaxmi,Freehold,NAN,3,NAN,"Main Road, Garden/Park, Pool",Poss. by Dec '25
387,"2 BHK Apartment for Sale in Lodha Eternis, MIDC Industrial Estate Mumbai","1.99 Cr26,747 per sqft",650 sqft,NAN,NAN,9 out of 9,New Property,Furnished,East,Lodha Eternis,Freehold,1 Covered,2,NAN,"Garden/Park, Pool, Main Road",Poss. by Dec '24
388,"4 BHK Apartment for Sale in Piramal Mahalaxmi, Mahalakshmi Mumbai","12.50 Cr67,568 per sqft",1850 sqft,NAN,NAN,Lower Basement out of 44,New Property,Semi-Furnished,West,Piramal Mahalaxmi,Leasehold,3 Covered,4,1,"Pool, Garden/Park, Main Road",Poss. by Dec '25
389,1 BHK Apartment for Sale in Bhandup West Mumbai,"74 Lac11,212 per sqft",381 sqft,NAN,NAN,10 out of 37,New Property,Semi-Furnished,East,NAN,Freehold,NAN,2,NAN,"Garden/Park, Pool, Main Road",Poss. by Dec '26
390,"2 BHK Apartment for Sale in Godrej Horizon, Wadala Mumbai","3.50 Cr31,334 per sqft",800 sqft,NAN,NAN,25 out of 44,New Property,Semi-Furnished,East,Godrej Horizon,Freehold,1 Covered,2,1,"Garden/Park, Pool, Main Road",Poss. by Dec '26
391,3 BHK Apartment for Sale in Kandivali West Mumbai,"2.99 Cr28,476 per sqft",970 sqft,NAN,NAN,10 out of 20,New Property,Unfurnished,West,NAN,Freehold,NAN,3,1,"Garden/Park, Main Road",Poss. by Dec '25
392,"2 BHK Apartment for Sale in Omkar Alta Monte, Shantaram Talao Mumbai","2.26 Cr19,700 per sqft",846 sqft,NAN,NAN,42 out of 51,New Property,Unfurnished,West,Omkar Alta Monte,Freehold,1 Covered,2,NAN,Garden/Park,Poss. by Dec '24
393,"2 BHK Apartment for Sale in Runwal Timeless, Sion East Mumbai",2.50 Cr,709 sqft,NAN,NAN,25 out of 29,New Property,Unfurnished,East,Runwal Timeless,Freehold,1 Covered,2,1,Garden/Park,Poss. by Sep '26
